,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
4049,78203,"Smith, Bobby",Bobby Smith,0,1959,1961,HISTADD_bobby_smith,bobby_smith,0,,,,,,Y,00
4050,293,"Smith, Charles",Charles Smith,0,1988,1996,charles_smith,charles_smith,0,,,,,,Y,00
4051,1520,"Smith, Charles",Charles Smith,0,1997,2005,charles_smith,charles_smith,0,,,,,,Y,00
4052,78179,"Smith, Charles",Charles Smith,0,1989,1995,HISTADD_charles_e_smith,charles_smith,0,,,,,,Y,00
4053,1814,"Smith, Chris",Chris Smith,0,1992,1994,chris_smith,chris_smith,0,,,,,,Y,00
4054,203147,"Smith, Chris",Chris Smith,0,2013,2013,chris_smith,chris_smith,0,,,,,,Y,01
4055,78181,"Smith, Clinton",Clinton Smith,0,1986,1990,HISTADD_clinton_smith,clinton_smith,0,,,,,,Y,00
4056,200783,"Smith, Craig",Craig Smith,0,2006,2011,craig_smith,craig_smith,0,,,,,,Y,01
4057,78182,"Smith, Deb",Deb Smith,0,1946,1946,HISTADD_deb_smith,deb_smith,0,,,,,,Y,00
4058,78183,"Smith, Derek",Derek Smith,0,1982,1990,HISTADD_derek_smith,derek_smith,0,,,,,,Y,00
4059,78184,"Smith, Don",Don Smith,0,1974,1974,HISTADD_don_smith,don_smith,0,,,,,,Y,00
4060,78185,"Smith, Donald",Donald Smith,0,1948,1948,HISTADD_des_smith,donald_smith,0,,,,,,Y,00
4061,2764,"Smith, Donta",Donta Smith,0,2004,2005,donta_smith,donta_smith,0,,,,,,Y,01
4062,475,"Smith, Doug",Doug Smith,0,1991,1995,doug_smith,doug_smith,0,,,,,,Y,00
4063,1630696,"Smith, Dru",Dru Smith,1,2022,2023,dru_smith,dru_smith,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11
4064,78187,"Smith, Ed",Ed Smith,0,1953,1953,HISTADD_ed_smith,ed_smith,0,,,,,,Y,00
4065,78188,"Smith, Elmore",Elmore Smith,0,1971,1978,HISTADD_elmore_smith,elmore_smith,0,,,,,,Y,00
4066,78189,"Smith, Garfield",Garfield Smith,0,1970,1971,HISTADD_garfield_smith,garfield_smith,0,,,,,,Y,00
4067,78190,"Smith, Greg",Greg Smith,0,1968,1975,HISTADD_greg_smith,greg_smith,0,,,,,,Y,00
