Player,O_POSSESSIONS,O_RAPM_2021-23,D_POSSESSIONS,D_RAPM_2021-23,TOTAL_POSSESSIONS,RAPM_2021-23
Nathan Knight,1177,-0.58,1165,0.26,2342,-0.31
Maxi Kleber,4650,-1.65,4630,1.61,9280,-0.03
Josh Green,5132,0.01,5141,1.12,10273,1.13
CJ Elleby,2382,-1.68,2371,-1.35,4753,-3.03
Lamar Stevens,4130,-0.48,4176,-1.13,8306,-1.61
Jabari Parker,224,-0.21,226,0.21,450,0.0
JT Thor,2505,-1.22,2539,0.57,5044,-0.65
Will Barton,6586,-3.13,6557,0.04,13143,-3.09
CJ McCollum,9634,2.19,9640,-1.71,19274,0.48
Georges Niang,6502,-0.12,6443,-0.63,12945,-0.75
Luguentz Dort,8129,-0.32,8140,0.5,16269,0.18
Reggie Bullock,8305,0.57,8308,0.28,16613,0.85
Jayson Tatum,10975,4.47,10950,1.61,21925,6.08
Dewayne Dedmon,2959,-1.68,3000,1.17,5959,-0.51
Omer Yurtseven,1563,1.14,1564,0.02,3127,1.15
Garrett Temple,2502,-3.22,2531,-1.71,5033,-4.93
Jordan Schakel,73,-0.05,71,0.26,144,0.21
LaMarcus Aldridge,2140,0.25,2151,0.33,4291,0.58
Matt Mooney,4,-0.07,5,-0.04,9,-0.11
Jordan Bell,3,0.12,4,-0.06,7,0.06
James Bouknight,1679,-1.09,1705,-0.51,3384,-1.6
Mikal Bridges,11721,2.49,11759,0.73,23480,3.22
D'Angelo Russell,9046,1.52,8979,0.1,18025,1.62
Trevon Scott,24,-0.02,23,0.15,47,0.13
Paul George,6079,1.75,6060,2.34,12139,4.09
Josh Christopher,4341,-1.42,4299,-2.87,8640,-4.29
Kentavious Caldwell-Pope,9498,0.66,9501,-0.38,18999,0.28
Elijah Hughes,886,-1.61,895,-1.87,1781,-3.48
Olivier Sarr,1074,-0.23,1089,1.03,2163,0.8
Cam Thomas,4319,-1.38,4285,-1.26,8604,-2.63
Scottie Barnes,10479,0.16,10494,0.96,20973,1.11
Matt Ryan,677,0.54,667,-0.12,1344,0.42
Brandon Clarke,4830,-0.28,4878,1.0,9708,0.72
Denzel Valentine,447,-0.56,449,0.08,896,-0.48
Shai Gilgeous-Alexander,9062,2.95,9043,-0.42,18105,2.53
Corey Kispert,7742,1.7,7686,-2.07,15428,-0.36
Anthony Edwards,10946,1.82,10900,0.87,21846,2.69
Luke Kennard,6501,1.69,6453,1.33,12954,3.02
Blake Griffin,3133,-1.06,3121,-0.06,6254,-1.12
Dakota Mathias,35,-0.41,33,0.01,68,-0.4
Ziaire Williams,3953,-0.82,3965,-0.26,7918,-1.08
Larry Nance Jr.,4820,1.49,4888,1.41,9708,2.9
Sandro Mamukelashvili,2156,-0.8,2140,-2.08,4296,-2.88
Landry Shamet,4589,-1.24,4592,2.04,9181,0.8
Malik Fitts,128,-0.36,127,0.0,255,-0.36
Ade Murkey,2,-0.03,3,0.03,5,0.0
Andrew Wiggins,7197,-1.02,7217,1.8,14414,0.78
Bol Bol,3227,-0.59,3242,0.15,6469,-0.43
Tyler Cook,396,-0.27,394,-0.64,790,-0.91
Deividas Sirvydis,59,-0.63,59,-0.02,118,-0.65
Moritz Wagner,4235,0.4,4221,-0.11,8456,0.29
Jae'Sean Tate,5568,-1.59,5545,0.82,11113,-0.77
Alperen Sengun,7451,1.08,7391,-1.92,14842,-0.83
Jake Layman,482,-0.16,480,-0.16,962,-0.32
Tyler Herro,8896,2.3,8847,0.63,17743,2.93
Grayson Allen,7801,-0.48,7785,1.31,15586,0.83
Jordan Clarkson,8327,2.02,8306,0.22,16633,2.24
Tim Hardaway Jr.,6672,1.34,6671,0.79,13343,2.13
Garrison Mathews,4933,-0.05,4903,-0.17,9836,-0.22
Abdel Nader,310,-0.99,310,0.51,620,-0.48
Tony Bradley,1189,0.41,1201,1.0,2390,1.41
Lonzo Ball,2466,-1.33,2461,1.34,4927,0.01
Keita Bates-Diop,4956,-0.8,4995,0.94,9951,0.13
Greg Monroe,399,0.08,393,-0.08,792,0.0
Anfernee Simons,7683,1.29,7683,-0.51,15366,0.78
Eugene Omoruyi,1309,0.66,1308,-0.22,2617,0.44
Tim Frazier,411,-1.44,412,0.07,823,-1.37
Furkan Korkmaz,3540,-1.19,3539,0.62,7079,-0.56
Norvel Pelle,36,-0.56,35,-0.04,71,-0.6
Saben Lee,1986,-2.08,1986,0.23,3972,-1.85
Hassani Gravett,330,-0.03,327,0.27,657,0.24
Isaiah Hartenstein,5722,1.85,5729,0.01,11451,1.86
Melvin Frazier Jr.,241,-0.87,237,-0.91,478,-1.78
Daniel Oturu,56,-0.17,57,-0.39,113,-0.56
Kelan Martin,881,-1.31,875,0.26,1756,-1.05
Jordan McLaughlin,3346,0.96,3346,1.24,6692,2.2
Brandon Ingram,6761,0.94,6762,1.04,13523,1.98
Kevon Looney,7479,3.18,7565,-0.36,15044,2.82
Theo Pinson,955,-0.96,975,-0.83,1930,-1.79
Jordan Poole,9792,-0.24,9729,0.39,19521,0.15
Elfrid Payton,1111,-1.74,1123,-0.24,2234,-1.98
Andre Drummond,4538,-0.08,4605,1.45,9143,1.37
Isaiah Joe,4081,2.58,4018,-0.78,8099,1.8
Jusuf Nurkic,5992,-0.4,5946,1.86,11938,1.46
Lonnie Walker IV,6019,-1.08,6054,-1.31,12073,-2.39
Max Strus,7643,-0.12,7610,-1.38,15253,-1.5
Hassan Whiteside,2325,2.26,2339,0.85,4664,3.11
RJ Nembhard,119,-0.81,116,0.48,235,-0.33
Myles Powell,104,-0.11,107,-0.45,211,-0.56
Kris Dunn,1898,0.32,1901,-0.98,3799,-0.65
Alfonzo McKinnie,397,0.08,400,-1.24,797,-1.15
Carsen Edwards,162,-0.14,161,-0.12,323,-0.26
Danilo Gallinari,3358,1.36,3351,-0.54,6709,0.82
Julius Randle,10481,1.28,10469,-0.43,20950,0.85
McKinley Wright IV,702,-1.15,712,-1.43,1414,-2.58
Derrick Favors,1299,-2.29,1321,1.35,2620,-0.94
Emanuel Terry,38,-0.51,37,-0.09,75,-0.6
Keljin Blevins,702,-1.12,710,-1.96,1412,-3.08
Damian Jones,3059,-1.65,3051,-0.68,6110,-2.33
Charles Bassey,1389,-0.37,1388,0.39,2777,0.02
Jrue Holiday,9079,4.65,9055,1.94,18134,6.59
Brandon Knight,137,-0.37,132,0.17,269,-0.2
Devonte' Graham,7055,-0.55,7007,-0.48,14062,-1.03
Austin Reaves,6752,1.73,6743,1.44,13495,3.17
Anthony Gill,2158,1.69,2191,0.2,4349,1.89
Wenyen Gabriel,2821,1.49,2859,-0.19,5680,1.3
Kevin Porter Jr.,8027,0.3,8005,0.49,16032,0.79
Rajon Rondo,1417,-2.76,1418,0.67,2835,-2.09
Ahmad Caver,2,0.04,2,0.01,4,0.05
Chuma Okeke,4646,-3.6,4637,0.14,9283,-3.46
Bruno Fernando,1130,-0.81,1134,-0.15,2264,-0.96
Tristan Thompson,1781,0.59,1789,-1.02,3570,-0.43
Bones Hyland,4773,1.84,4776,-2.3,9549,-0.45
Isaiah Livers,3150,0.89,3150,-0.91,6300,-0.02
Chris Silva,187,-0.16,193,-0.4,380,-0.56
Desmond Bane,8364,2.54,8350,1.14,16714,3.68
LeBron James,8323,3.11,8345,0.23,16668,3.34
Chimezie Metu,4055,-0.56,4083,1.21,8138,0.64
Svi Mykhailiuk,2402,-0.69,2387,0.17,4789,-0.51
Marcus Morris Sr.,6753,0.23,6737,-1.33,13490,-1.1
Rayjon Tucker,154,0.43,153,-0.29,307,0.14
Payton Pritchard,3266,-1.13,3255,0.09,6521,-1.03
Aleksej Pokusevski,3957,-1.49,3929,-0.06,7886,-1.55
Khem Birch,2275,0.38,2266,-0.44,4541,-0.06
Joe Ingles,4440,0.17,4413,0.49,8853,0.66
Willie Cauley-Stein,376,-0.54,373,0.93,749,0.39
Willy Hernangomez,2652,0.65,2675,-0.44,5327,0.21
Tre Jones,6455,0.62,6455,-1.31,12910,-0.69
Juwan Morgan,64,-0.02,62,-0.38,126,-0.4
