Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Kevin Durant,3365,1.44,3362,1.37,6727,2.81
Boban Marjanovic,344,0.49,336,0.92,680,1.41
Cam Reddish,2038,-1.33,2040,-1.01,4078,-2.34
T.J. Warren,1422,-0.05,1414,0.87,2836,0.82
Micah Potter,113,-0.38,114,0.29,227,-0.09
Jeremiah Robinson-Earl,1690,0.62,1708,-0.65,3398,-0.03
Duncan Robinson,1380,-0.28,1377,-0.73,2757,-1.01
Marcus Smart,4002,0.98,4000,-0.22,8002,0.76
Dennis Schroder,4082,1.21,4102,0.95,8184,2.16
P.J. Washington,4886,-1.37,4896,-0.23,9782,-1.6
Naz Reid,2643,-1.18,2626,-0.56,5269,-1.74
O.G. Anunoby,4779,0.35,4758,1.3,9537,1.65
Landry Shamet,1647,-0.62,1635,1.05,3282,0.43
Daniel Theis,227,-0.23,224,-0.07,451,-0.3
Ryan Arcidiacono,360,-1.23,365,0.72,725,-0.51
Grant Williams,4117,0.18,4121,0.52,8238,0.7
Buddy Boeheim,179,-0.15,180,0.34,359,0.19
JaVale McGee,720,-0.98,719,0.34,1439,-0.63
Garrison Mathews,1403,-1.6,1414,1.24,2817,-0.36
Nikola Jovic,408,-0.29,410,0.12,818,-0.17
Nerlens Noel,407,-0.91,417,0.0,824,-0.91
Tyrese Maxey,3992,1.65,3971,-0.35,7963,1.29
Kevin Love,2502,-0.04,2480,0.18,4982,0.13
Maxi Kleber,1832,-0.95,1818,-0.02,3650,-0.97
Alondes Williams,12,-0.01,11,-0.05,23,-0.06
Devin Booker,3726,3.12,3699,-0.17,7425,2.95
Spencer Dinwiddie,5284,-0.24,5299,0.12,10583,-0.12
Evan Mobley,5319,0.58,5303,0.9,10622,1.48
Will Barton,1989,-2.05,1987,-0.53,3976,-2.58
Tre Jones,4116,0.49,4115,-1.24,8231,-0.75
Nathan Knight,622,-0.25,612,-0.33,1234,-0.58
Aleksej Pokusevski,1448,-1.75,1455,-1.52,2903,-3.27
Jamaree Bouyea,132,-0.01,133,-0.36,265,-0.37
Joel Embiid,4526,2.13,4511,1.94,9037,4.07
Bismack Biyombo,1725,0.06,1730,0.56,3455,0.62
